movieId,name,overview,popularity,production_countries,release_date,Original Ask Amount,revenue,reward,risk
49,운랩,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.30,30000000,373554033,ST,40
30,AvaTheElephant,Ava The Elephant - Baby and Child Care,17.015539,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.15,5000000,262797249,ST,10
21,MrTod'sPieFactory,Mr. Tod's Pie Factory - Specialty Food,11.7129,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,46000000,0,R,96
39,Wispots,Wispots - Consumer Services,3.859495,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,120000000,81452156,ST,61
9,CollegeFoxesPackingBoxes,College Foxes Packing Boxes - Consumer Services,8.387519,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.2.10,25000000,76578911,ST,42
33,IonicEar,Ionic Ear - Novelties,17.924927,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.15,100000000,187436818,R,77
1,APerfectPear,A Perfect Pear - Specialty Food,6.677277,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.15,50000000,0,ST,94
44,ClassroomJams,Classroom Jams - Education,2.561161,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,25000000,0,ST,95
37,Lifebelt,Lifebelt - Automotive,5.23158,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,50000000,64350171,ST,5
21,CrookedJaw,Crooked Jaw - Men and Women's Apparel,14.686036,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.11.16,20000000,352194034,ST,70
54,StickyNoteHolder,Sticky Note Holder - Productivity Tools,6.318445,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.11.17,10000000,107879496,ST,55
40,TurboBaster,TurboBaster - Kitchen Tools,5.430331,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,3500000,0,R,96
2,StressFreeKids,Stress Free Kids - Baby and Child Care,12.140733,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,25000000,11348324,ST,22
23,KwyztaChopstickArt,Kwyzta Chopstick Art - Kitchen Tools,5.092,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,10000000,13681765,ST,45
26,50StateCapitalsin50Minutes,50 State Capitals in 50 Minutes - Education,7.284477,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.22,15500000,10017322,R,29
5,VoyageAirGuitar,Voyage Air Guitar - Music,10.137389,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.11.22,50000000,116112375,ST,45
33,GiftCardRescue,Gift Card Rescue - Online Services,10.673167,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.13,15000000,135000000,ST,23
42,Coverplay,Coverplay - Baby and Child Care,9.026586,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.9,35000000,4300000,ST,4
15,GraffitiRemovalServices,Graffiti Removal Services - Professional Services,8.205448,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.11.10,35000000,212385533,ST,37
25,SoulsCalling,"Soul's Calling, Inc. - Women's Accessories",7.337906,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.11.21,15000000,35431113,ST,56
21,CoffeeBrandGifts,Coffee Brand Gifts - Novelties,12.669608,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.20,30000000,115101622,ST,27
22,MyTherapyJournal,My Therapy Journal - Online Services,10.701801,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.27,8000000,0,R,97
26,BodyJac,Body Jac - Fitness Equipment,11.065939,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.6,18000000,30303072,ST,24
48,GoodGriefCelebrations,Good Grief Celebrations - Consumer Services,12.133094,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.27,5000000,0,ST,96
13,GranolaGourmet,Granola Gourmet - Specialty Food,10.332025,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.27,17500000,49800000,R,82
19,FaceBlok,Face Blok - Novelties,1.845899,"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1995.12.15,5000000,0,ST,90
29,PorkBarrelBBQSauce,Pork Barrel BBQ Sauce - Specialty Food,8.681325,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.20,5000000,27400000,ST,58
54,ElementBars,Element Bars - Specialty Food,2.228434,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1995.9.27,15000000,0,ST,94
14,UndereaseUnderwear,Underease Underwear - Undergarments and Basics,9.822423,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1995.5.16,5500000,1738611,ST,51
49,KalyxTechnologies,Kalyx Technologies - Undergarments and Basics,1.100915,"[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'FR', 'name': 'France'}]",1995.4.30,12500000,0,ST,93
42,TheFizz,The Fizz - Non-Alcoholic Beverages,9.481338,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.8.11,15000000,180000000,R,48
31,Soy-Yer-Dough,Soy-Yer-Dough - Toys and Games,12.297305,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.29,12500000,168840000,ST,62
25,GrillCharmsSet,Grill Charms Set - Kitchen Tools,0.745542,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1996.9.18,5000000,0,ST,91
46,BoogieBoxFitness,Boogie Box Fitness - Fitness Programs,14.404764,"[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.7.18,70000000,254134910,R,58
8,TheFunhouseProject,The Fun house Project - Entertainment,1.493361,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995.11.8,30000000,0,ST,95
36,TreasureChestPets,Treasure Chest Pets - Toys and Games,6.891317,"[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1995.12.29,15000000,39363635,ST,5
27,Notehall,Notehall - Online Services,0.114469,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.20,9000000,0,ST,95
45,Throx,Throx - Undergarments and Basics,7.777735,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.11.17,5000000,0,ST,96
12,WashedUpHollywood,Washed Up Hollywood - Fashion Accessories,9.882383,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.7.19,50000000,0,ST,97
10,GaylaBentleyFashion,Gayla Bentley Fashion - Women's Apparel,0.894647,"[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",1995.12.15,25000000,676525,ST,51
18,ChillSoda,Chill Soda - Non-Alcoholic Beverages,4.561387,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.12.29,5000000,0,R,97
10,CornucopiaExpress,Cornucopia Express - Pet Products,9.87957,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995.10.6,30000000,0,ST,99
